,call_id,agent_id,agent_tone,customer_tone,average_sentiment,silence_percent_average
0,4667960400,963118,neutral,angry,-0.04,0.39
1,1122072124,519057,calm,neutral,0.02,0.35
2,6834291559,158319,neutral,polite,0.13,0.32
3,2266439882,488324,neutral,frustrated,-0.2,0.2
4,1211603231,721730,neutral,polite,0.05,0.35
5,5297766997,817160,calm,calm,0.1,0.11
6,324593040,519057,neutral,frustrated,0.0,0.25
7,8902603117,488324,calm,angry,0.11,0.35
8,7222687732,957331,calm,neutral,0.06,0.54
9,4113684017,158319,neutral,angry,-0.19,0.29
10,4431106905,721730,neutral,frustrated,-0.01,0.23
11,7732610078,488324,neutral,neutral,-0.06,0.58
12,6935939312,963118,neutral,polite,0.03,0.04
13,7892954313,519057,calm,angry,0.26,0.22
14,1548659870,721730,neutral,frustrated,0.0,0.33
15,3313876732,158319,neutral,angry,-0.03,0.24
16,9009313118,963118,neutral,angry,-0.04,0.33
17,2421825046,519057,neutral,calm,-0.12,0.35
18,6365916412,721730,neutral,calm,-0.09,0.19
19,5889442998,817160,calm,neutral,0.08,0.45
20,7310794085,957331,calm,frustrated,0.14,0.72
21,9929408549,519057,neutral,frustrated,-0.13,0.49
22,8509547639,721730,neutral,angry,-0.1,0.64
23,1093484785,817160,calm,polite,0.08,0.37
24,7602289538,158319,neutral,neutral,-0.18,0.11
25,8627682007,721730,calm,polite,0.5,0.33
26,2530572183,957331,neutral,polite,0.09,0.05
27,7677239872,519057,calm,neutral,0.11,0.2
28,8607543793,158319,calm,polite,0.04,0.29
29,6102160207,963118,neutral,neutral,-0.08,0.17
30,8652716010,519057,neutral,calm,-0.03,0.42
31,288434426,488324,neutral,angry,-0.13,0.25
32,5289798109,721730,neutral,angry,-0.14,0.18
33,2400299738,963118,calm,angry,0.01,0.4
34,3107888571,519057,neutral,calm,-0.2,0.63
35,5737349741,158319,neutral,angry,-0.06,0.51
36,7890159923,488324,neutral,polite,0.06,0.5
37,5969151433,721730,calm,frustrated,0.02,0.33
38,3311768452,963118,neutral,frustrated,0.0,0.0
39,2200682864,963118,neutral,calm,-0.07,0.42
40,3283019500,158319,calm,angry,0.1,0.47
41,3042091300,721730,calm,neutral,0.12,0.08
42,3241712240,817160,neutral,neutral,0.0,0.08
43,3715152001,488324,calm,calm,0.44,0.03
44,4165389905,957331,calm,calm,0.05,0.46
45,2141788986,721730,calm,calm,0.13,0.38
46,7348382478,488324,neutral,polite,0.13,0.2
47,5925798000,817160,calm,angry,0.04,0.15
48,6533095063,519057,neutral,calm,0.0,0.49
49,9724788339,817160,calm,calm,0.1,0.23
50,845866474,957331,calm,angry,0.15,0.33
51,5023614450,964561,neutral,angry,-0.14,0.08
52,5356883601,963118,calm,frustrated,0.18,0.27
53,9983959358,519057,neutral,polite,0.17,0.4
54,9455719171,963118,neutral,polite,0.1,0.16
55,1461417732,519057,calm,polite,0.1,0.48
56,7774450920,963118,calm,angry,0.02,0.28
57,9214147168,158319,neutral,frustrated,-0.12,0.12
58,2492747146,963118,neutral,frustrated,-0.17,0.06
59,3099385981,519057,neutral,frustrated,-0.13,0.08
60,6354983973,158319,neutral,angry,-0.02,0.25
61,4290559626,488324,calm,neutral,0.07,0.73
62,9653448853,721730,neutral,angry,-0.18,0.12
63,6788681378,519057,neutral,frustrated,-0.05,0.22
64,2326492285,963118,calm,angry,0.15,0.08
65,1804143506,963118,calm,angry,0.08,0.16
66,2931134074,519057,calm,frustrated,0.11,0.37
67,9508402335,158319,neutral,calm,-0.04,0.41
68,4541295276,488324,neutral,calm,-0.04,0.24
69,8837237031,721730,neutral,frustrated,-0.01,0.4
70,3944632548,817160,calm,polite,0.12,0.43
71,3991780429,519057,neutral,calm,-0.06,0.27
72,4630350249,963118,neutral,calm,-0.13,0.07
73,3006081887,963118,neutral,frustrated,-0.16,0.54
74,5745907727,519057,calm,calm,0.1,0.06
75,2517801923,721730,neutral,angry,-0.02,0.09
76,5347725511,721730,neutral,calm,-0.11,0.18
77,3265727999,519057,neutral,angry,0.0,0.12
78,291609054,519057,calm,polite,0.02,0.28
79,5725811355,158319,neutral,frustrated,-0.19,0.49
80,2855340256,519057,neutral,polite,0.04,0.27
81,2010588624,963118,neutral,calm,-0.09,0.34
82,1818595932,519057,calm,neutral,0.03,0.05
83,5706266824,963118,neutral,neutral,-0.12,0.33
84,3209820220,519057,neutral,polite,0.0,0.43
85,4498597955,488324,calm,frustrated,0.06,0.13
86,6611494442,721730,neutral,neutral,0.0,0.08
87,3494281557,964561,neutral,frustrated,-0.01,0.31
88,7488458159,721730,neutral,calm,-0.09,0.25
89,2845747512,519057,neutral,frustrated,-0.23,0.19
90,4126649116,957331,neutral,angry,-0.05,0.57
91,691446525,817160,frustrated,polite,0.38,0.01
92,8824481397,878048,calm,calm,0.09,0.46
93,8655666048,274746,calm,angry,0.01,0.4
94,3703662675,828869,frustrated,neutral,-0.28,0.25
95,5466016706,758927,calm,polite,0.03,0.16
96,2894499901,524049,calm,angry,0.04,0.51
97,3817230689,922729,neutral,neutral,-0.12,0.27
98,3182938486,878048,calm,polite,0.03,0.22
99,3397199569,828869,neutral,frustrated,-0.05,0.38
100,7836953676,758927,neutral,polite,0.11,0.45
101,6627861747,274746,neutral,calm,0.0,0.35
102,4886165173,964561,neutral,frustrated,-0.15,0.41
103,8239912427,274746,neutral,angry,-0.02,0.06
104,8691681579,828869,calm,polite,0.07,0.1
105,6498077982,524049,calm,polite,0.14,0.07
106,815115244,274746,neutral,frustrated,-0.06,0.29
107,1162237184,828869,neutral,frustrated,-0.18,0.16
108,3723048188,878048,neutral,polite,0.0,0.55
109,3564872843,878048,neutral,angry,0.0,0.18
110,1286275736,274746,calm,polite,0.2,0.45
111,4155225595,878048,calm,neutral,0.22,0.1
112,9310693795,758927,frustrated,angry,-0.28,0.2
113,5120262550,524049,neutral,polite,0.21,0.2
114,4963458977,274746,frustrated,frustrated,-0.28,0.09
115,4458776244,878048,neutral,angry,-0.04,0.57
116,6865223937,828869,calm,calm,0.05,0.23
117,2221555263,274746,neutral,angry,-0.05,0.38
118,7593460378,758927,calm,polite,0.02,0.1
119,5555212163,964561,neutral,frustrated,-0.07,0.19
120,5633809296,964561,calm,polite,0.02,0.24
121,9748102747,878048,neutral,angry,-0.11,0.13
122,2457729996,964561,calm,frustrated,0.31,0.21
123,9452610855,964561,neutral,calm,-0.13,0.34
124,3628122319,878048,calm,neutral,0.08,0.39
125,8966807387,964561,neutral,neutral,-0.06,0.09
126,355940870,878048,neutral,calm,-0.07,0.4
127,3266080628,878048,neutral,frustrated,-0.02,0.02
128,9426822806,878048,neutral,neutral,0.0,0.35
129,2150175631,878048,calm,neutral,0.12,0.05
130,5892797648,878048,neutral,calm,-0.08,0.2
131,5842119015,274746,neutral,polite,0.12,0.1
132,6308193786,878048,neutral,frustrated,-0.03,0.11
133,6964421535,274746,calm,neutral,0.2,0.62
134,6794219624,828869,calm,neutral,0.09,0.25
135,6581088938,758927,calm,angry,0.11,0.3
136,9993775527,524049,neutral,frustrated,-0.18,0.07
137,5450426391,922729,neutral,angry,-0.15,0.66
138,2018280855,915618,neutral,polite,0.12,0.41
139,915962130,878048,calm,angry,0.04,0.0
140,7127665247,274746,neutral,polite,0.0,0.07
141,3666446277,524049,calm,polite,0.07,0.16
142,8984455291,274746,frustrated,polite,0.38,0.03
143,1525233923,878048,calm,calm,0.1,0.05
144,5431519237,758927,neutral,calm,0.0,0.18
145,4346744236,825827,neutral,polite,0.03,0.21
146,4816340535,788537,neutral,calm,0.0,0.72
147,4809910796,499403,neutral,angry,-0.22,0.44
148,5217078198,274746,neutral,neutral,-0.03,0.36
149,367804319,131036,neutral,calm,0.0,0.31
150,972292759,289402,calm,calm,0.35,0.23
151,4675010716,814752,neutral,polite,0.04,0.34
152,8614154068,462743,neutral,polite,0.15,0.23
153,6186829781,215457,calm,angry,0.01,0.13
154,9216262244,436472,calm,calm,0.06,0.19
155,9761028950,758927,neutral,polite,0.04,0.41
156,3766236397,153460,calm,angry,0.32,0.37
157,2593524963,607742,neutral,frustrated,-0.09,0.3
158,2890018342,524049,neutral,polite,0.12,0.62
159,3384912975,828869,calm,polite,0.05,0.42
160,2049935935,289402,frustrated,calm,-0.3,0.28
161,7765452553,915618,calm,neutral,0.06,0.53
162,2684115029,131036,neutral,polite,0.01,0.1
163,585740895,814752,calm,frustrated,0.01,0.14
164,4124838721,462743,neutral,angry,-0.1,0.29
165,4143899688,215457,angry,frustrated,-0.94,0.02
166,5888839821,499403,neutral,frustrated,-0.08,0.42
167,5887855579,436472,neutral,polite,0.1,0.35
168,2328809947,153460,neutral,angry,0.0,0.29
169,2258976474,607742,neutral,neutral,-0.04,0.2
170,9493952202,600666,neutral,neutral,0.0,0.13
171,8350670977,376343,calm,neutral,0.03,0.11
172,998095929,619806,frustrated,calm,-0.42,0.3
173,5974121962,369972,frustrated,angry,-0.3,0.18
174,5702105939,922729,calm,frustrated,0.38,0.34
175,4808821794,499403,neutral,neutral,0.0,0.39
176,471919827,215457,neutral,calm,-0.06,0.23
177,8245792247,922729,neutral,frustrated,-0.18,0.13
178,3326242904,788537,neutral,calm,-0.08,0.11
179,625472288,274746,neutral,neutral,0.0,0.57
180,529250087,499403,calm,polite,0.18,0.12
181,369511808,788537,calm,neutral,0.06,0.2
182,1790444108,499403,neutral,calm,-0.05,0.62
183,9275253129,289402,neutral,neutral,-0.07,0.4
184,3063375824,215457,neutral,neutral,-0.03,0.43
185,7769577839,153460,neutral,angry,-0.22,0.3
186,3857653673,607742,angry,neutral,-0.63,0.16
187,8567122492,619806,neutral,neutral,-0.03,0.27
188,8487711690,915618,neutral,polite,0.0,0.35
189,767542571,878048,calm,polite,0.33,0.1
190,1865141600,915618,calm,angry,0.16,0.08
191,186231552,131036,calm,frustrated,0.03,0.58
192,1356740595,524049,neutral,frustrated,-0.06,0.23
193,3339020161,814752,neutral,frustrated,0.0,0.1
