one_hot__agent_tone_angry,one_hot__agent_tone_calm,one_hot__agent_tone_frustrated,one_hot__agent_tone_neutral,one_hot__agent_tone_polite,one_hot__customer_tone_angry,one_hot__customer_tone_calm,one_hot__customer_tone_frustrated,one_hot__customer_tone_neutral,one_hot__customer_tone_polite,remainder__call_duration,remainder__average_sentiment,remainder__elite_level_code,predicted_primary_call_reason
0,0,0,1,0,0,0,0,0,1,540,0.12,1,Irrops
0,0,0,1,0,0,0,0,0,1,840,0.02,0,Irrops
0,1,0,0,0,0,1,0,0,0,900,0.02,2,Voluntary_Change
0,1,0,0,0,0,0,0,1,0,720,0.2,1,Voluntary_Change
0,0,0,1,0,0,1,0,0,0,600,0,4,Mileage_Plus
0,0,0,1,0,0,1,0,0,0,3540,-0.12,0,Post_Flight
0,0,0,1,0,1,0,0,0,0,2160,-0.04,0,Mileage_Plus
0,1,0,0,0,0,1,0,0,0,300,0.03,4,Mileage_Plus
0,0,0,1,0,0,0,1,0,0,840,-0.03,1,Upgrade
0,1,0,0,0,0,0,1,0,0,780,0.5,0,Voluntary_Cancel
0,0,1,0,0,1,0,0,0,0,660,-0.33,0,Mileage_Plus
0,0,0,1,0,0,1,0,0,0,840,-0.12,0,Checkout
0,0,0,1,0,0,0,0,1,0,300,0,0,Booking
0,0,0,1,0,1,0,0,0,0,1380,-0.11,0,Seating
0,0,1,0,0,0,0,0,0,1,780,0.32,2,Traveler_Updates
0,1,0,0,0,0,0,0,1,0,1320,0.13,0,Upgrade
0,1,0,0,0,1,0,0,0,0,3960,0.05,0,Checkout
0,0,0,1,0,0,1,0,0,0,2700,-0.1,1,Mileage_Plus
0,0,0,1,0,0,1,0,0,0,420,-0.11,1,Other_Topics
0,1,0,0,0,0,1,0,0,0,780,0.06,0,Digital_Support
0,1,0,0,0,0,1,0,0,0,1740,0.12,1,Voluntary_Change
0,0,0,1,0,0,0,0,1,0,1200,-0.01,0,Seating
0,1,0,0,0,0,0,1,0,0,840,0.19,2,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,1080,0.12,0,Irrops
0,0,0,1,0,1,0,0,0,0,1500,-0.15,1,Checkout
0,1,0,0,0,0,0,0,0,1,4380,0.08,3,Products&Services
0,1,0,0,0,0,0,1,0,0,900,0.09,1,Voluntary_Change
0,1,0,0,0,0,0,0,1,0,1200,0.05,1,Upgrade
0,0,0,1,0,0,1,0,0,0,660,0,0,Voluntary_Change
0,0,0,1,0,1,0,0,0,0,840,-0.21,3,Irrops
0,1,0,0,0,1,0,0,0,0,480,0.11,3,Mileage_Plus
0,0,0,1,0,1,0,0,0,0,360,0,0,Booking
0,0,0,1,0,0,0,1,0,0,1560,-0.01,1,Mileage_Plus
0,1,0,0,0,0,0,0,0,1,1200,0.08,1,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,1560,0.04,0,Products_And_Services
0,0,0,1,0,1,0,0,0,0,480,0,0,Irrops
0,1,0,0,0,0,0,0,0,1,1320,0.18,0,Baggage
0,1,0,0,0,0,0,0,1,0,1140,0.05,4,Mileage_Plus
0,1,0,0,0,0,0,1,0,0,540,0.13,0,Baggage
0,1,0,0,0,0,0,0,0,1,600,0.18,0,Irrops
0,0,0,1,0,0,0,0,0,1,1260,0.03,4,Mileage_Plus
0,0,0,1,0,1,0,0,0,0,1500,-0.02,0,Voluntary_Change
0,0,0,1,0,0,0,0,1,0,3960,-0.11,0,Irrops
0,0,0,1,0,0,0,0,0,1,720,0.09,0,Voluntary_Change
0,1,0,0,0,0,0,0,0,1,720,0.1,1,Voluntary_Change
0,0,1,0,0,0,0,1,0,0,1320,-0.26,0,Communications
0,0,0,1,0,1,0,0,0,0,960,-0.07,0,Voluntary_Change
0,0,0,1,0,0,1,0,0,0,780,0,1,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,1740,0.05,0,Irrops
0,0,0,1,0,1,0,0,0,0,420,-0.1,1,Booking
0,1,0,0,0,1,0,0,0,0,660,0.11,0,Voluntary_Change
